participant_code,age,gender,f2f,phone,video,vr_chat,video_game,vr_game,avatar_type,disclosure_sentiment,enjoyment_rating,comfort_rating,pleasantness_rating,real_person_rating,facial_realism_rating,body_realism_rating,pref_enjoyable,pref_comfortable,pref_pleasant,pref_real_person,pref_facial_realistic,pref_body_realistic
K72,28,Male,4,3,3,1,5,1,high,negative,3,4,4,4,4,4,1,2,2,2,1,1
K72,28,Male,4,3,3,1,5,1,low,positive,3,5,4,4,4,4,1,2,2,2,1,1
K72,28,Male,4,3,3,1,5,1,low,negative,4,4,4,4,4,4,1,2,2,2,1,1
H73,19,Female,5,4,5,1,1,1,high,positive,2,2,2,1,2,1,1,2,2,2,1,1
H73,19,Female,5,4,5,1,1,1,high,negative,1,1,1,1,1,1,1,2,2,2,1,1
H73,19,Female,5,4,5,1,1,1,low,positive,3,4,4,3,2,3,1,2,2,2,1,1
H73,19,Female,5,4,5,1,1,1,low,negative,2,3,3,2,2,2,1,2,2,2,1,1
H73,19,Female,5,4,5,1,1,1,medium,positive,3,4,3,3,3,3,1,2,2,2,1,1
H73,19,Female,5,4,5,1,1,1,medium,negative,2,3,3,4,3,3,1,2,2,2,1,1
H74,24,Female,5,5,3,1,1,1,low,positive,3,3,4,4,3,4,2,2,2,3,3,3
H74,24,Female,5,5,3,1,1,1,low,negative,3,3,4,4,3,4,2,2,2,3,3,3
H74,24,Female,5,5,3,1,1,1,medium,positive,3,3,4,5,4,4,2,2,2,3,3,3
H74,24,Female,5,5,3,1,1,1,medium,negative,3,4,4,5,4,4,2,2,2,3,3,3
H74,24,Female,5,5,3,1,1,1,high,positive,4,4,4,4,5,4,2,2,2,3,3,3
H74,24,Female,5,5,3,1,1,1,high,negative,4,4,4,4,5,4,2,2,2,3,3,3
